,step,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,DAPX,APX_pareto0_list
0,2,1.904761904761905,0.4507457188820764,0.29406055619256916,0.4856380952383018,0.5611500770617008,4.225801432980946,6.477447806752254
1,3,2.8571428571428577,0.7568461770241165,0.4858758041908542,0.7244857142860213,0.9223538979944745,3.7750641330805275,5.880397485322318
2,4,3.80952380952381,1.0789575185514095,0.683914053351206,0.9712380952385083,1.3258290554962582,3.5307449496606815,5.570179163386089
3,5,4.761904761904763,1.4208901844085353,0.9106049759873787,1.2020476190481268,1.7470112128934172,3.351353126481741,5.229385834116905
4,6,5.714285714285715,1.7685038993223219,1.1349920454896083,1.4586285714291924,2.1901215652973343,3.231141145052261,5.034648248852449
5,7,6.666666666666668,2.1256998195481303,1.394669360766275,1.6994666666673897,2.6568681301974175,3.1362220598409007,4.780105488948142
6,8,7.61904761904762,2.481939179729809,1.6285824091492058,1.9418666666674926,3.1323009911250357,3.069796263048256,4.678331029639401
7,9,8.571428571428573,2.8467983717226377,1.8857629572073213,2.1918857142866486,3.6352554103243766,3.0109011781687514,4.545337227390573
8,10,9.523809523809526,3.216580866984775,2.1575966795772743,2.429428571429605,4.1423561531388815,2.9608487762775106,4.414082397306744
9,11,10.476190476190478,3.5890238902369043,2.448463707125877,2.6759333333344735,4.634286600435721,2.9189525610817166,4.278679094038085
10,12,11.42857142857143,3.963393967363944,2.735682921862069,2.8989714285726573,5.177982140918932,2.8835315193691384,4.177593586318279
11,13,12.380952380952383,4.33984274698578,3.0313607754297016,3.161352380953727,5.713996893717495,2.852857373588369,4.084288640700432
12,14,13.333333333333336,4.721938723835064,3.3416324655773746,3.3824000000014336,6.263659729543548,2.8236989323961983,3.990065774941402
13,15,14.285714285714288,5.096698907169935,3.6348915852219497,3.6091428571443824,6.798575312812506,2.8029347124307127,3.9301624135901125
14,16,15.23809523809524,5.482838301250399,3.9434864560028617,3.8224761904777975,7.356597665537102,2.779234841673169,3.8641175538715182
15,17,16.190476190476193,5.867361732041915,4.31876433058909,4.104771428573168,7.909485117411648,2.759413332581713,3.7488677202878935
16,18,17.142857142857146,6.256917769736283,4.601672171254127,4.34657142857327,8.498932501854988,2.7398245867597018,3.7253538507035975
17,19,18.0952380952381,6.644212599785502,4.885643677341798,4.566514285716214,9.031297491828067,2.7234586225946886,3.703757230425661
18,20,19.04761904761905,7.0368412008411125,5.280347503681121,4.870666666668743,9.626023171672918,2.7068422469647735,3.6072661949502884
19,21,20.000000000000004,7.435687356691818,5.668132039289284,5.0554000000021375,10.210490872087178,2.689731162782256,3.528499311831092
20,22,20.952380952380956,7.832311048091858,5.911816524649551,5.318761904764161,10.81965884373247,2.675121151819611,3.5441527769035424
21,23,21.90476190476191,8.232437878503928,6.329268852248998,5.5465047619071095,11.39991651496605,2.660786783700898,3.460867663565662
22,24,22.85714285714286,8.635340556661744,6.613239101060795,5.829714285716767,12.015915039646112,2.6469301016170914,3.4562704459719997
23,25,23.809523809523814,9.033990219465615,7.045520419449128,6.025714285716836,12.602779870183701,2.6355489912111296,3.37938468587753
24,26,24.761904761904766,9.439958082362727,7.415787173209727,6.272933333335989,13.174889226400659,2.623094779220366,3.3390797475094245
25,27,25.71428571428572,9.847970360481654,7.713020976996782,6.4887428571455965,13.83675335955957,2.611125417017204,3.333879914365031
26,28,26.66666666666667,10.255920416288303,8.206696980395302,6.739200000002849,14.483156633269887,2.6001241804016986,3.2493787367036653
27,29,27.619047619047624,10.667170594653353,8.561262577047158,7.018276190479169,15.079191619749219,2.5891633937954426,3.2260484210698785
28,30,28.571428571428577,11.079099156830143,8.914843962177457,7.274285714288806,15.671247163166134,2.578858458344477,3.204927499869553
29,31,29.52380952380953,11.496067112051927,9.404022437148067,7.529752380955585,16.295498153413305,2.5681660724525677,3.139487354600904
30,32,30.47619047619048,11.90972396435177,9.789635190455595,7.762285714289014,16.90249690836765,2.5589334032771816,3.1131078822940457
31,33,31.428571428571434,12.33264468476814,10.193377689290774,7.989457142860535,17.551792878625363,2.5484048419385976,3.083234270970896
32,34,32.38095238095239,12.754020116471432,10.572126345301646,8.321904761908321,18.194340131775487,2.5388820219229045,3.062860896979612
33,35,33.33333333333334,13.17829655458735,10.93862534755871,8.387333333336867,18.804549385025982,2.5294113844880846,3.047305513646895
34,36,34.28571428571429,13.604004725715404,11.402752290585527,8.659200000003658,19.47055230656763,2.5202662728354266,3.0067928700004876
35,37,35.23809523809524,14.030473207937833,11.690045459079407,8.999457142860976,20.10446982252116,2.511540039730025,3.014367682439299
36,38,36.1904761904762,14.46116104236357,12.065316737914717,9.171752380956265,20.722661420486947,2.502598241210177,2.999546300906403
37,39,37.14285714285715,14.889819530762457,12.52730141141546,9.412000000003985,21.419478905795188,2.4945135880337426,2.9649527797751283
38,40,38.0952380952381,15.322191849615344,12.907067247274478,9.711238095242226,22.05669666634051,2.4862786257433833,2.9515022557337716
39,41,39.04761904761905,15.757930157004122,13.2871342579476,9.859523809527975,22.620373958926127,2.4779662467448538,2.9387540074160845
40,42,40.00000000000001,16.194205431287227,13.75986063087967,10.157200000004309,23.301589157290476,2.470019302257334,2.907006188001106
41,43,40.95238095238096,16.630372492215155,14.362824352418626,10.408866666671084,24.008522464235313,2.4625053330315474,2.8512763191652337
42,44,41.90476190476191,17.073250056568398,14.785909898094332,10.635847619052129,24.598871877449568,2.45441036509861,2.8341009916584685
43,45,42.85714285714286,17.512504316487544,15.021036425974954,10.842000000004587,25.285122887455874,2.447230966092841,2.8531415304361185
44,46,43.80952380952382,17.957387328108656,15.5437567760961,11.093447619052315,25.97250221412795,2.4396379611943257,2.818464315968718
45,47,44.76190476190477,18.398592609591436,15.868841280384256,11.323866666671456,26.55768376761773,2.43289830432844,2.8207418532338417
46,48,45.71428571428572,18.84625410489939,16.44110427330793,11.610514285719212,27.344283741850283,2.4256430726147085,2.780487548424755
47,49,46.66666666666667,19.29451846846173,16.886657405996417,11.83186666667168,27.92085824064312,2.4186489413014725,2.763523031508618
48,50,47.61904761904763,19.74505933416096,17.289713848468732,12.094761904767036,28.6655966613206,2.411694328852273,2.754183674547339
