,step,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,DAPX,APX_pareto1_list
0,2,3.9801980198019806,1.3422597368515745,0.6088375443056429,2.0,2.0785686103740693,2.965296440417706,6.537372829629375
1,2,23.881188118811885,8.475815499344836,5.497007660588188,12.0,15.742971713414146,2.817568188059055,4.344397823934734
2,2,43.78217821782179,16.206492543163808,12.180795389033255,22.0,30.859218124911937,2.7015208936303683,3.5943611906690616
3,2,63.68316831683169,24.426096234460463,19.823327524387235,32.0,46.69189796489705,2.6071774918739226,3.2125367569338095
4,2,83.5841584158416,33.057127110192134,28.16007900381975,42.0,62.939055710237604,2.528476178139238,2.9681791164188103
5,2,103.4851485148515,42.04163145788986,37.74306964918527,52.0,79.21579537625442,2.4614922144138314,2.7418317979095628
6,2,123.3861386138614,51.33481048596943,46.64900988053764,62.0,95.82457369857224,2.403556912859057,2.6449894420018363
7,2,143.2871287128713,60.90110949147495,56.46834015391916,72.0,112.73698415198724,2.352783552045614,2.5374772540206587
8,2,163.1881188118812,70.71169841474483,66.69264992572394,82.0,129.5403376758485,2.3077952088597145,2.4468681180553618
9,2,183.0891089108911,80.74277992752121,76.75656558773794,92.0,146.68548945276444,2.267560134481883,2.3853217963694306
10,2,202.990099009901,90.97441362010595,87.77225015386557,102.0,163.8006525946099,2.2312877976609333,2.3126910686926387
11,2,222.8910891089109,101.38967497255072,99.36444400382706,112.0,181.12307845876668,2.1983608209539516,2.2431674764901435
12,2,242.7920792079208,111.97403884310691,110.51570638211174,122.0,198.55766986056435,2.1682890223162388,2.1969011207190685
13,2,262.69306930693074,122.71491786080334,120.24654139462726,132.0,216.2053421701332,2.1406775466769727,2.184620582514884
14,2,282.59405940594064,133.6013103554449,133.36331593952886,142.0,233.5126106504994,2.115204249524964,2.118978951708712
15,2,302.49504950495054,144.62352744477047,144.74475582669533,152.0,250.84286828494604,2.0916033155149587,2.089851530559985
16,2,322.39603960396045,155.77297840453525,157.8497417850737,162.0,268.51102805569514,2.0696531767320567,2.042423610948512
17,2,342.29702970297035,167.04199969582083,168.94815088952376,172.0,286.0777861606314,2.049167456844892,2.0260478016524757
18,2,362.19801980198025,178.42371718387463,184.41137851373156,182.0,303.52589305718993,2.0299880840881537,1.9640763098303633
19,2,382.09900990099015,189.91193394494664,192.9964126969321,192.0,321.3821163911274,2.0119799844266577,1.979824415187506
20,2,402.00000000000006,201.50103803598046,206.7698975963045,202.0,338.59594761738293,1.9950269433759347,1.944190158592915
21,2,421.90099009900996,213.18592602023247,217.78548262212072,212.0,356.9168983471559,1.9790283438268308,1.9372319266617497
22,2,441.80198019801986,224.96193905547227,230.45529020015897,222.0,374.46088373631625,1.9638965686950185,1.9170832651066436
23,2,461.70297029702976,236.8248090843201,243.17870890682926,232.0,392.9282404915413,1.9495549139560084,1.8986159288884341
24,2,481.60396039603967,248.770613235448,257.29967497115683,242.0,410.74393689466683,1.9359358974616003,1.8717628012939669
25,2,501.50495049504957,260.7957349384623,269.9015696640565,252.0,428.7532913282034,1.9229798777705673,1.8581031267038097
26,2,521.4059405940594,272.8968305673186,282.6934949436164,262.0,446.85327019934607,1.910633917990624,1.8444214314095009
27,2,541.3069306930694,285.0708006833517,295.692756153386,272.0,464.6086899063955,1.8988508447567636,1.8306398091547258
28,2,561.2079207920792,297.31476510664027,308.4865385988886,282.0,482.5194655360853,1.8875884639997151,1.8192298546997314
29,2,581.1089108910892,309.6260412224149,323.87007384708835,292.0,500.86872308916315,1.8768089034011801,1.7942655336703115
30,2,601.009900990099,322.00212500340274,337.4245514426263,302.0,518.6975304249646,1.8664780581300446,1.7811682594539693
31,2,620.910891089109,334.44067434683024,349.80961001963345,312.0,536.6177636028028,1.8565651211586665,1.774996664769329
32,2,640.8118811881188,346.9394943890308,364.7883170723537,322.0,554.4088349662994,1.8470421832965565,1.7566677747001898
33,2,660.7128712871288,359.49652450858036,377.06365965104993,332.0,573.2205416594187,1.8378838910620932,1.752258151577321
34,2,680.6138613861386,372.1098268006386,389.8043693920737,342.0,591.5101282886973,1.8290671526683009,1.7460395901862313
35,2,700.5148514851486,384.77757580096966,404.8987705583134,352.0,609.5382785996725,1.820570884430899,1.7300987368255312
36,2,720.4158415841584,397.49804930699474,414.66341453456613,362.0,627.7999298568028,1.8123757911268858,1.7373508641768658
37,2,740.3168316831684,410.2696201622202,430.1128570502084,372.0,645.9582478652334,1.8044641750233612,1.7212153032587654
38,2,760.2178217821782,423.0907488636853,443.85002225066825,382.0,664.1288534621311,1.796819769337739,1.712780857658352
39,2,780.1188118811882,435.95997691613866,457.84570380585734,392.0,682.1300295103164,1.7894275924123466,1.7038902088551342
40,2,800.019801980198,448.87592081516533,468.86916199672316,402.0,700.314586241217,1.7822738197392058,1.706275154828351
41,2,819.920792079208,461.8372666170651,482.7232785719835,412.0,718.7237936927953,1.775345671182161,1.6985317022720332
42,2,839.8217821782179,474.8427649985917,499.123136943018,422.0,736.2684900857936,1.7686313114209682,1.6825943740494151
43,2,859.7227722772278,487.89122677104757,514.0225444289923,432.0,755.0745845436217,1.7621197617490043,1.6725390385985122
44,2,879.6237623762377,500.981518795557,529.2486511870368,442.0,773.2304380524799,1.755800821736897,1.662023626141237
45,2,899.5247524752476,514.1125602424144,543.0982551515762,452.0,791.2628426189332,1.7496649995306548,1.6562836354983217
46,2,919.4257425742575,527.2833191901352,557.7865974964515,462.0,809.7344943261788,1.7437034495732229,1.648346781190107
47,2,939.3267326732674,540.492809487064,569.4491200953285,472.0,827.7952742408855,1.7379079169706306,1.6495358400343472
48,2,959.2277227722773,553.7400878798838,585.757628830322,482.0,846.3389999656079,1.7322706875799663,1.6375846861571808
49,2,979.1287128712872,567.0242513791825,602.6945330289552,492.0,864.6012335573528,1.7267845431473807,1.6245853566158812
