,r_list,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,rho_list,DAPX,r_rho_list,APX_uniform_list
0,0.5773502691896258,25.0,14.323093503438447,14.305414452143705,12.459,15.519926455780361,2.3573248191761946,1.745432995602411,1.807928439517898,1.747590052957444
1,0.5658032638058333,25.0,14.422002466741077,14.373163851054054,12.502215000011269,15.635755458915595,2.328059858801665,1.7334624687281184,1.7940764707658456,1.7393526059446285
2,0.5542562584220408,25.0,14.580390782730724,14.509786790422599,12.603779999989609,15.745963893677164,2.2990087482251194,1.7146316839196414,1.7802086827075176,1.7229750072207555
3,0.5427092530382481,25.0,14.66781603004402,14.55648305139253,12.568047500010454,15.814364686714642,2.27016911143112,1.7044118871407041,1.7663246305435776,1.7174478142650262
4,0.5311622476544556,25.0,14.82068828553535,14.724219537832358,12.549839999988261,15.9317076007294,2.2415384985268347,1.6868312401117984,1.7524238143718138,1.6978828613472576
5,0.5196152422706632,25.0,14.937888233753174,14.824171793388768,12.525275,16.075562632677556,2.213114380615289,1.6735966696758917,1.738505674642019,1.6864348544010677
6,0.5080682368868706,25.0,15.038256648947598,14.887894576796848,12.508580000011886,16.138778306223422,2.1848941441417717,1.6624267415830771,1.7245695871648132,1.6792166193172215
7,0.4965212315030782,25.0,15.178997612519403,14.999279587571731,12.609172499989041,16.244255969014297,2.15687508464752,1.6470125787081213,1.7106148576266982,1.666746716336615
8,0.4849742261192856,25.0,15.302872407684186,15.107348304315309,12.628840000011103,16.356592088921367,2.129054399851814,1.633680222508194,1.6966407155436858,1.6548238311854453
9,0.47342722073549315,25.0,15.445854201893965,15.23021311447051,12.60713999998747,16.448496045347383,2.1014291819760116,1.6185572952601424,1.6826463075825688,1.641474076042116
10,0.4618802153517006,25.0,15.604245181737198,15.341570465589152,12.685275,16.587793987752452,2.073996409204931,1.602128120189969,1.6686306901653585,1.629559376341198
11,0.45033320996790815,25.0,15.752343397940585,15.533275952626857,12.731227500013135,16.7658530542553,2.046752936166428,1.5870654523230128,1.6545928212591499,1.6094480054461537
12,0.43878620458411566,25.0,15.855810569719837,15.644668357943333,12.666059999988343,16.826362730657607,2.019695483289272,1.5767090487157438,1.6405315512373881,1.5979884921821719
13,0.42723919920032294,25.0,16.01346000529887,15.72535338184767,12.743977500011894,16.985520007524755,1.992820624875587,1.5611866512126344,1.6264456126790945,1.589789392514281
14,0.4156921938165305,25.0,16.160865537592603,15.880074990885626,12.855924999986069,17.106372724664848,1.966124775695238,1.5469468477320254,1.6123336089492395,1.5742998703941107
15,0.40414518843273806,25.0,16.30411576415663,16.022687579947423,12.947837499999999,17.251005142735554,1.9396041758747122,1.5333551577792777,1.5981940013753415,1.5602875532122205
16,0.39259818304894556,25.0,16.459013644884916,16.132184767231344,12.994170000014647,17.40045330259586,1.9132548738106994,1.5189245564401987,1.5840250948010546,1.549697103071959
17,0.38105117766515306,25.0,16.593920144449257,16.251542713309064,12.975182499987207,17.48991321019101,1.8870727067868922,1.5065758893845598,1.5698250212555802,1.5383154966282961
18,0.3695041722813604,25.0,16.75720380581044,16.45022229237034,13.141320000012941,17.690934730183827,1.8610532789090921,1.4918956819831377,1.555591721428286,1.5197363023838937
19,0.35795716689756796,25.0,16.908780463635548,16.546732026970602,13.2416774999841,17.788226534012338,1.8351919358953908,1.4785217688387187,1.541322923570505,1.5108723558978814
20,0.34641016151377546,25.0,17.083882839214766,16.732515360210048,13.3364,17.96844788904529,1.8094837361609062,1.463367563175649,1.5270161193744,1.4940969401080035
21,0.33486315612998296,25.0,17.235903029799502,16.871351887172217,13.447577500016909,18.096263251079645,1.7839234175149572,1.4504607015238478,1.5126685362756753,1.4818018240143656
22,0.3233161507461904,25.0,17.418166666211373,17.03151221654397,13.590524999989078,18.24268897529785,1.7585053586354522,1.43528308570478,1.4982771055067636,1.4678673086771266
23,0.31176914536239786,25.0,17.57041678494531,17.183472756883475,13.699840000010404,18.4398017967048,1.733223534290911,1.4228461570371234,1.483838425070729,1.454886352351874
24,0.30022213997860536,25.0,17.76022449620333,17.377206362278663,13.861449999981154,18.6246970226025,1.7080714630337293,1.4076398643127706,1.4693487166073596,1.4386662320054169
25,0.2886751345948129,25.0,17.943348044089273,17.552469459254883,14.030249999999999,18.809229080287924,1.683042145765432,1.3932739831257557,1.4548037748671399,1.4243010112071872
26,0.2771281292110204,25.0,18.12450001674593,17.731828691183033,14.2572100000206,18.99113393389592,1.6581279931634587,1.379348394543382,1.4401989081765514,1.409894063122265
27,0.2655811238272278,25.0,18.29001810568644,17.87819122541226,14.473527499993962,19.153567148020734,1.6333207394093479,1.3668657874224521,1.4255288678421583,1.3983517507333025
28,0.25403411844343526,25.0,18.4867306907283,18.090766729726163,14.771700000004193,19.343699865036317,1.6086113389364252,1.3523213172861503,1.4107877638648476,1.3819204223622434
29,0.2424871130596428,25.0,18.660134118081448,18.27396476276496,15.018984999976032,19.49272593126562,1.5839898419434635,1.33975457206255,1.395968963559461,1.3680665539500223
30,0.2309401076758503,25.0,18.85103806781803,18.464056782594668,15.27995,19.703150612095982,1.5594452431025805,1.3261869139545852,1.3810649686300174,1.3539819712624859
31,0.21939310229205783,25.0,19.052588713047754,18.653465535127587,15.651097500026797,19.91263095407714,1.534965296076048,1.3121576483136534,1.3660672648064434,1.3402335320973375
32,0.20784609690826525,25.0,19.255388699137672,18.82928732864324,16.060410000004385,20.106212823430912,1.5105362839256136,1.2983378518409028,1.3509661361417065,1.3277188649604295
33,0.19629909152447267,25.0,19.454217352475546,19.0689269093601,16.50729249999244,20.30909312028928,1.4861427319091856,1.2850684017272356,1.3357504332233952,1.3110333957873945
34,0.1847520861406802,25.0,19.658881564972873,19.280196162191455,17.000000000010818,20.533223057924754,1.461767043983557,1.271689842444732,1.3204072804558558,1.2966673051296596
35,0.17320508075688773,25.0,19.875023083140746,19.537605068245565,17.5,20.761362143896108,1.4373890367165993,1.2578601743213362,1.3049217015490497,1.2795836497193025
36,0.16165807537309523,25.0,20.085212524382484,19.73150964903313,17.999999999983313,20.97529796450424,1.4129853328760908,1.2446968121273898,1.289276133322916,1.2670089843442383
37,0.15011106998930268,25.0,20.307772997580987,19.995949039667494,18.50000000003395,21.201975237064268,1.3885285593572285,1.2310557146260173,1.2734497840488446,1.2502532363132945
38,0.13856406460551013,25.0,20.531251202855316,20.213657844786315,18.999999999965414,21.460751625116814,1.363986266279316,1.217655940838287,1.2574177706458685,1.2367875320719461
39,0.12701705922171763,25.0,20.767283465816504,20.50093898375735,19.500000000024357,21.679683532560347,1.339319438698365,1.2038165724058545,1.2411499333578484,1.2194563390392608
40,0.11547005383792515,25.0,21.007151327766113,20.702967815696947,20.0,21.92713591975403,1.314480395713109,1.1900709244168846,1.2246091663487695,1.2075563379393872
41,0.10392304845413258,25.0,21.257231093601153,20.992200659378767,20.499999999971152,22.196249291050783,1.2894097367856947,1.1760703870564542,1.2077489968541744,1.1909184942375564
42,0.0923760430703401,25.0,21.518656188610592,21.274431819252893,21.000000000036838,22.461768775827306,1.264031745725221,1.1617825844177023,1.190509950335572,1.1751195149369653
43,0.08082903768654762,25.0,21.79322002624703,21.613944684661746,21.499999999962665,22.72796429308075,1.238247174503203,1.147145762300882,1.1728138575001597,1.1566606820152157
44,0.06928203230275506,25.0,22.085601430206847,21.91973241672081,22.000000000034817,23.011796040608655,1.2119213026717968,1.1319592123856352,1.1545544582622826,1.1405248715960374
45,0.057735026918962574,25.0,22.3996594320077,22.29180654735979,22.5,23.305257549031182,1.1848628099289025,1.1160883974993199,1.1355808210442877,1.1214882897393958
46,0.04618802153517,25.0,22.741107188376592,22.65523617019181,22.999999999961634,23.601339100992266,1.1567829169416208,1.0993308194236897,1.1156653673063732,1.1034976555615548
47,0.03464101615137753,25.0,23.119156444646386,23.058518058744383,23.500000000039112,23.919908984670105,1.1272058742483808,1.0813543331417335,1.0944340344731722,1.084198036331279
48,0.02309401076758495,25.0,23.55081360668184,23.54139788958607,23.999999999960494,24.25455699646419,1.0952316919267189,1.0615344513153888,1.0711817751342125,1.0619590271255375
49,0.011547005383792474,25.0,24.0766728166968,24.067026724451797,24.500000000043144,24.60537272544649,1.0586487501099058,1.0383494509533264,1.0441852449953253,1.038765622618448
